Series Name,Series Code,Country Name,Country Code,1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,Colombia,COL,60.491,60.929,61.36,61.785,62.205,62.625,63.045,63.461,63.868,64.256,64.616,64.938,65.218,65.454,65.64,65.772,65.858,65.917,65.966,66.036,66.16,66.356,66.631,66.986,67.406,67.869,68.341,68.795,69.215,69.594,69.931,70.24,70.533,70.813,71.085,71.354,71.621,71.887,72.154,72.422,72.689,72.95,73.205,73.45,73.686,73.91,74.124,74.33,..,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,Comoros,COM,44.488,44.911,45.333,45.76,46.204,46.68,47.197,47.757,48.359,48.996,49.658,50.328,50.992,51.64,52.267,52.874,53.464,54.038,54.591,55.118,55.614,56.073,56.492,56.866,57.184,57.434,57.619,57.748,57.833,57.895,57.956,58.036,58.153,58.319,58.542,58.825,59.154,59.513,59.89,60.27,60.636,60.978,61.289,61.564,61.804,62.015,62.21,62.399,..,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,Costa Rica,CRI,64.045,64.579,65.167,65.803,66.475,67.168,67.855,68.518,69.139,69.71,70.224,70.689,71.111,71.492,71.834,72.138,72.411,72.658,72.888,73.106,73.319,73.529,73.739,73.95,74.163,74.374,74.579,74.774,74.959,75.13,75.286,75.428,75.559,75.68,75.794,75.905,76.015,76.128,76.245,76.367,76.492,76.62,76.751,76.886,77.029,77.185,77.354,77.539,..,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,Dominica,DMA,..,..,..,..,..,..,..,..,..,..,..,70,..,..,..,..,70.5,..,..,..,..,72,..,..,..,..,74,..,..,..,..,74.5,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,Djibouti,DJI,48.392,48.975,49.489,49.93,50.308,50.649,50.983,51.335,51.712,52.111,52.523,52.929,53.311,53.664,53.982,54.266,54.523,54.753,54.958,55.13,55.262,55.353,55.407,55.43,55.43,55.415,55.399,55.397,55.42,55.484,55.598,55.763,55.98,56.249,56.565,56.915,57.293,57.694,58.125,58.612,59.191,59.876,60.659,61.516,62.399,63.245,64,64.629,..,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,Dominican Republic,DOM,57.159,57.682,58.186,58.671,59.135,59.575,59.992,60.387,60.762,61.118,61.458,61.785,62.103,62.415,62.723,63.03,63.336,63.641,63.942,64.239,64.528,64.806,65.072,65.325,65.565,65.793,66.011,66.225,66.436,66.65,66.873,67.105,67.348,67.6,67.859,68.118,68.374,68.621,68.858,69.087,69.309,69.529,69.75,69.97,70.189,70.403,70.609,70.805,..,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,"Egypt, Arab Rep.",EGY,50.705,51.088,51.567,52.141,52.794,53.495,54.205,54.894,55.552,56.184,56.811,57.456,58.13,58.827,59.524,60.19,60.801,61.342,61.813,62.233,62.63,63.036,63.469,63.931,64.408,64.876,65.307,65.68,65.991,66.241,66.444,66.619,66.787,66.957,67.138,67.332,67.537,67.747,67.962,68.178,68.391,68.596,68.791,68.974,69.144,69.302,69.453,69.599,..,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,Ecuador,ECU,57.183,57.635,58.087,58.544,59.014,59.503,60.015,60.548,61.1,61.664,62.235,62.801,63.354,63.887,64.397,64.881,65.343,65.785,66.209,66.613,67.001,67.372,67.73,68.076,68.413,68.741,69.063,69.376,69.681,69.976,70.257,70.522,70.771,71.004,71.225,71.436,71.642,71.847,72.055,72.266,72.483,72.703,72.926,73.152,73.378,73.606,73.833,74.058,..,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,El Salvador,SLV,52.35,52.454,52.474,52.417,52.287,52.091,51.859,51.631,51.451,51.378,51.468,51.748,52.226,52.9,53.758,54.777,55.896,57.051,58.193,59.267,60.232,61.076,61.796,62.385,62.854,63.225,63.535,63.818,64.089,64.357,64.619,64.865,65.088,65.294,65.487,65.676,65.865,66.06,66.264,66.476,66.696,66.917,67.137,67.354,67.571,67.787,68.006,68.229,..,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,Equatorial Guinea,GNQ,38.744,39.038,39.322,39.611,39.931,40.319,40.791,41.352,41.988,42.671,43.355,43.999,44.573,45.065,45.482,45.842,46.181,46.529,46.902,47.31,47.757,48.235,48.73,49.237,49.747,50.251,50.74,51.205,51.638,52.03,52.373,52.671,52.932,53.162,53.372,53.575,53.784,54.009,54.259,54.54,54.855,55.198,55.56,55.935,56.315,56.692,57.059,57.41,..,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,Eritrea,ERI,41.908,42.271,42.637,43.007,43.376,43.738,44.087,44.419,44.734,45.033,45.319,45.598,45.876,46.157,46.442,46.727,47.013,47.306,47.615,47.959,48.358,48.823,49.354,49.943,50.568,51.197,51.803,52.373,52.908,53.427,53.966,54.557,55.216,55.939,56.709,57.493,58.255,58.965,59.611,60.191,60.712,61.198,61.666,62.121,62.565,62.994,63.404,63.79,..,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,Eswatini,SWZ,46.853,47.549,48.266,48.999,49.748,50.514,51.297,52.096,52.904,53.726,54.571,55.431,56.287,57.111,57.885,58.596,59.213,59.691,59.975,59.978,59.609,58.844,57.696,56.202,54.414,52.401,50.283,48.19,46.228,44.5,43.078,41.972,41.189,40.749,40.663,40.923,41.473,42.255,43.227,44.369,45.679,47.133,48.683,50.263,51.781,53.152,54.329,55.284,..,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,Ethiopia,ETH,41.723,41.976,42.205,42.405,42.555,42.629,42.621,42.542,42.417,42.296,42.237,42.283,42.462,42.777,43.207,43.712,44.235,44.734,45.195,45.616,46.013,46.415,46.848,47.317,47.82,48.343,48.878,49.423,49.984,50.588,51.263,52.027,52.885,53.83,54.846,55.912,56.991,58.046,59.05,59.976,60.804,61.534,62.176,62.73,63.207,63.622,63.997,64.35,..,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,Fiji,FJI,60.392,60.385,60.431,60.536,60.697,60.907,61.144,61.389,61.633,61.871,62.102,62.328,62.55,62.76,62.952,63.115,63.248,63.347,63.414,63.449,63.454,63.437,63.413,63.39,63.389,63.427,63.51,63.639,63.81,64.007,64.212,64.403,64.565,64.693,64.788,64.862,64.93,65.004,65.088,65.178,65.269,65.351,65.419,65.473,65.517,65.555,65.594,65.641,..,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,Gabon,GAB,46.469,47.293,48.112,48.925,49.735,50.543,51.35,52.155,52.956,53.757,54.567,55.381,56.185,56.96,57.675,58.298,58.806,59.187,59.435,59.556,59.566,59.494,59.365,59.195,58.977,58.694,58.341,57.931,57.498,57.088,56.751,56.531,56.457,56.548,56.817,57.26,57.841,58.513,59.244,59.995,60.734,61.44,62.09,62.665,63.153,63.552,63.879,64.152,..,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,"Gambia, The",GMB,37.534,38.404,39.275,40.136,40.985,41.824,42.656,43.484,44.303,45.109,45.899,46.668,47.407,48.109,48.757,49.338,49.848,50.291,50.675,51.015,51.332,51.645,51.973,52.326,52.709,53.122,53.553,53.99,54.427,54.859,55.281,55.69,56.084,56.461,56.82,57.161,57.487,57.801,58.104,58.392,58.663,58.915,59.151,59.377,59.602,59.836,60.088,60.362,..,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,Georgia,GEO,63.714,64.024,64.336,64.646,64.937,65.187,65.382,65.518,65.599,65.646,65.685,65.741,65.83,65.951,66.095,66.238,66.354,66.422,66.437,66.393,66.29,66.146,65.983,65.821,65.69,65.624,65.635,65.724,65.88,66.072,66.251,66.38,66.437,66.426,66.373,66.323,66.325,66.413,66.593,66.861,67.193,67.552,67.903,68.228,68.517,68.764,68.98,69.174,..,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,Ghana,GHA,48.62,48.804,49.019,49.27,49.552,49.854,50.163,50.469,50.773,51.083,51.411,51.768,52.161,52.59,53.058,53.57,54.11,54.659,55.194,55.677,56.068,56.348,56.512,56.568,56.531,56.432,56.314,56.221,56.182,56.228,56.38,56.63,56.966,57.375,57.838,58.328,58.817,59.282,59.711,60.101,60.458,60.799,61.137,61.474,61.806,62.13,62.437,62.724,..,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,Grenada,GRD,63.619,63.868,64.11,64.346,64.568,64.773,64.954,65.111,65.245,65.356,65.445,65.52,65.591,65.67,65.774,65.92,66.116,66.363,66.659,66.997,67.363,67.739,68.108,68.457,68.781,69.076,69.347,69.598,69.824,70.025,70.197,70.342,70.459,70.547,70.605,70.631,70.626,70.594,70.541,70.473,70.396,70.317,70.242,70.176,70.125,70.09,70.07,70.064,..,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,Guatemala,GTM,51.951,52.454,52.919,53.346,53.735,54.095,54.435,54.77,55.107,55.452,55.812,56.186,56.573,56.973,57.385,57.802,58.222,58.642,59.064,59.495,59.945,60.419,60.919,61.444,61.987,62.541,63.096,63.64,64.162,64.652,65.1,65.506,65.875,66.211,66.527,66.836,67.153,67.487,67.842,68.219,68.615,69.018,69.416,69.804,70.172,70.515,70.83,71.119,..,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,Guinea,GIN,35.758,36.062,36.419,36.832,37.294,37.795,38.325,38.881,39.463,40.09,40.784,41.558,42.411,43.331,44.304,45.309,46.313,47.282,48.186,48.993,49.681,50.248,50.697,51.031,51.245,51.339,51.339,51.281,51.206,51.166,51.217,51.386,51.689,52.13,52.694,53.346,54.038,54.725,55.386,56.016,56.622,57.222,57.824,58.423,59.003,59.546,60.04,60.477,..,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,Guinea-Bissau,GNB,39.033,39.341,39.648,39.952,40.254,40.553,40.849,41.141,41.428,41.706,41.974,42.229,42.475,42.712,42.944,43.177,43.414,43.661,43.918,44.184,44.456,44.731,45.008,45.292,45.593,45.922,46.286,46.687,47.123,47.584,48.055,48.524,48.98,49.422,49.855,50.291,50.743,51.218,51.716,52.232,52.76,53.288,53.803,54.299,54.765,55.198,55.597,55.965,..,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,Guyana,GUY,59.449,59.495,59.529,59.556,59.58,59.602,59.624,59.646,59.669,59.688,59.701,59.704,59.699,59.691,59.687,59.697,59.73,59.791,59.884,60.008,60.163,60.34,60.533,60.741,60.961,61.196,61.447,61.711,61.986,62.266,62.545,62.82,63.088,63.346,63.595,63.838,64.079,64.321,64.566,64.817,65.078,65.347,65.621,65.893,66.155,66.394,66.605,66.783,..,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,Haiti,HTI,45.244,45.781,46.319,46.853,47.372,47.866,48.329,48.758,49.152,49.514,49.849,50.165,50.472,50.774,51.074,51.372,51.669,51.961,52.251,52.54,52.829,53.117,53.406,53.692,53.973,54.242,54.497,54.74,54.976,55.215,55.469,55.748,56.055,56.391,56.748,57.115,57.477,57.828,58.165,58.495,58.831,59.182,59.555,59.947,60.35,60.752,61.139,61.5,..,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,Honduras,HND,51.191,51.804,52.441,53.105,53.795,54.511,55.245,55.993,56.75,57.517,58.3,59.095,59.897,60.693,61.464,62.189,62.856,63.457,63.992,64.469,64.902,65.312,65.714,66.115,66.517,66.919,67.309,67.68,68.031,68.361,68.667,68.954,69.224,69.48,69.728,69.971,70.212,70.454,70.698,70.945,71.193,71.44,71.683,71.919,72.148,72.366,72.573,72.771,..,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,India,IND,48.958,49.558,50.146,50.719,51.275,51.812,52.33,52.828,53.305,53.758,54.182,54.577,54.949,55.302,55.647,55.994,56.352,56.727,57.122,57.536,57.967,58.405,58.843,59.277,59.703,60.121,60.531,60.936,61.335,61.729,62.121,62.511,62.902,63.293,63.689,64.091,64.499,64.91,65.32,65.723,66.115,66.488,66.84,67.167,67.468,67.745,68,68.239,..,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,Indonesia,IDN,51.301,51.925,52.534,53.127,53.704,54.267,54.822,55.369,55.91,56.44,56.957,57.458,57.941,58.405,58.853,59.286,59.708,60.123,60.533,60.941,61.352,61.765,62.176,62.58,62.965,63.317,63.63,63.901,64.137,64.349,64.554,64.771,65.011,65.28,65.579,65.899,66.228,66.554,66.872,67.182,67.485,67.784,68.081,68.371,68.651,68.914,69.156,69.375,..,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,"Iran, Islamic Rep.",IRN,51.625,52.603,53.651,54.669,55.412,55.588,55.073,53.88,52.143,50.178,48.402,47.201,46.845,47.424,48.922,51.187,53.866,56.626,59.281,61.654,63.627,65.223,66.473,67.378,67.975,68.338,68.575,68.78,69.001,69.257,69.536,69.798,70.023,70.226,70.438,70.698,71.03,71.443,71.934,72.476,73.035,73.566,74.038,74.435,74.755,75.007,75.217,75.409,..,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,Iraq,IRQ,59.041,59.678,60.308,60.882,61.237,61.171,60.597,59.53,58.079,56.497,55.111,54.202,53.949,54.396,55.474,57.001,58.681,60.266,61.639,62.735,63.562,64.217,64.782,65.267,65.683,66.035,66.321,66.539,66.69,66.753,66.704,66.538,66.274,65.949,65.625,65.378,65.26,65.302,65.508,65.857,66.302,66.771,67.207,67.581,67.878,68.101,68.277,68.429,..,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,Jamaica,JAM,66.603,66.912,67.25,67.615,67.997,68.382,68.753,69.099,69.413,69.696,69.95,70.188,70.419,70.65,70.893,71.159,71.448,71.755,72.067,72.365,72.621,72.817,72.942,72.998,72.996,72.955,72.903,72.861,72.837,72.835,72.848,72.864,72.871,72.866,72.846,72.809,72.759,72.7,72.639,72.582,72.539,72.514,72.51,72.531,72.574,72.635,72.708,72.787,..,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,Jordan,JOR,59.835,60.464,61.084,61.693,62.285,62.854,63.397,63.913,64.4,64.863,65.306,65.735,66.154,66.561,66.954,67.329,67.678,67.999,68.292,68.555,68.79,69.003,69.199,69.381,69.555,69.723,69.886,70.048,70.209,70.37,70.531,70.692,70.849,71.004,71.156,71.307,71.456,71.604,71.749,71.888,72.018,72.137,72.247,72.346,72.441,72.533,72.628,72.73,..,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,Kazakhstan,KAZ,57.423,57.683,57.918,58.137,58.347,58.56,58.784,59.028,59.296,61.6,61.95,62.3,63.15,64,64,64.45,64.9,64.8,63.9,63.8,63.3,63,61.8,60.6,59.7,58.5,59,59,60.3,60.2,60.5,60.7,60.5,60.4,60.3,60.6,60.7,61.9,63.6,63.51,64.16,64.84,65.75,67.12,67.5,68.1,68.72,68.84,..,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,Kenya,KEN,51.218,51.785,52.346,52.898,53.447,54.003,54.566,55.125,55.665,56.162,56.593,56.935,57.167,57.274,57.239,57.054,56.731,56.288,55.741,55.095,54.352,53.532,52.672,51.815,50.995,50.242,49.586,49.069,48.734,48.657,48.905,49.483,50.364,51.502,52.819,54.217,55.592,56.864,57.982,58.933,59.74,60.466,61.158,61.822,62.452,63.031,63.539,63.965,..,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,Kiribati,KIR,51.32,51.742,52.133,52.493,52.822,53.119,53.389,53.638,53.873,54.102,54.33,54.562,54.806,55.067,55.354,55.674,56.025,56.401,56.797,57.201,57.601,57.985,58.345,58.677,58.982,59.269,59.546,59.821,60.091,60.35,60.588,60.797,60.974,61.122,61.249,61.364,61.482,61.613,61.765,61.945,62.155,62.39,62.645,62.914,63.191,63.468,63.74,64.001,..,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,Kosovo,XKX,..,..,..,..,..,..,..,..,..,..,63.8,64.1,64.3,64.5,64.7,64.9,65.1,65.3,65.5,65.7,65.9,66.1,66.2,66.4,66.6,66.7,66.9,67,65,66,65.9,65.7,66,66.3,66.5,66.8,67.1,67.3,67.6,67.9,68.1,68.4,68.7,69,69.2,69.5,69.8,70,..,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,Kuwait,KWT,64.96,65.377,65.784,66.184,66.585,66.991,67.4,67.809,68.215,68.614,69,69.366,69.708,70.022,70.308,70.566,70.8,71.013,71.208,71.384,71.542,71.683,71.806,71.916,72.014,72.099,72.176,72.246,72.314,72.382,72.453,72.528,72.61,72.702,72.81,72.939,73.089,73.258,73.441,73.63,73.816,73.99,74.146,74.281,74.396,74.495,74.584,74.672,..,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,Kyrgyz Republic,KGZ,56.451,56.732,56.989,57.229,57.459,57.687,57.923,58.177,58.456,58.775,59.149,59.574,60.038,60.522,60.997,61.425,61.779,62.042,64.2,64.2,64.6,64.2,62.9,61.6,61.4,62.3,62.6,63.1,64.9,64.9,65,64.4,64.5,64.3,64.2,63.5,63.7,64.5,65.2,65.3,65.7,66.1,66.3,66.5,66.7,67,67.2,67.4,..,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,Lao PDR,LAO,45.152,45.473,45.789,46.099,46.399,46.687,46.964,47.238,47.514,47.809,48.14,48.517,48.94,49.403,49.887,50.365,50.815,51.226,51.599,51.948,52.299,52.679,53.107,53.589,54.121,54.691,55.276,55.861,56.437,57.001,57.557,58.111,58.668,59.226,59.785,60.341,60.893,61.435,61.963,62.477,62.973,63.452,63.912,64.351,64.765,65.15,65.508,65.838,..,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,Lebanon,LBN,64.598,64.834,65.054,65.258,65.446,65.617,65.777,65.931,66.085,66.243,66.411,66.591,66.786,67.001,67.237,67.494,67.771,68.065,68.377,68.707,69.058,69.428,69.815,70.219,70.636,71.064,71.499,71.938,72.378,72.821,73.272,73.73,74.191,74.645,75.081,75.484,75.844,76.152,76.405,76.6,76.739,76.833,76.896,76.937,76.967,76.996,77.031,77.076,..,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,Libya,LBY,55.397,56.281,57.142,57.984,58.808,59.613,60.389,61.129,61.828,62.482,63.083,63.633,64.135,64.594,65.019,65.423,65.814,66.199,66.58,66.952,67.307,67.635,67.928,68.186,68.41,68.604,68.777,68.935,69.084,69.232,69.389,69.553,69.717,69.873,69.991,70.04,70.004,69.884,69.695,69.473,69.266,69.119,69.062,69.105,69.239,69.442,69.672,69.895,..,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,Liberia,LBR,38.058,38.753,39.472,40.206,40.949,41.693,42.422,43.115,43.751,44.299,44.733,45.045,45.236,45.313,45.277,45.13,44.905,44.654,44.428,44.31,44.387,44.693,45.232,45.985,46.885,47.831,48.726,49.503,50.145,50.681,51.181,51.732,52.389,53.16,54.023,54.927,55.807,56.616,57.338,57.978,58.561,59.126,59.698,60.279,60.856,61.409,61.911,62.347,..,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,Madagascar,MDG,44.361,44.836,45.302,45.753,46.189,46.61,47.014,47.396,47.752,48.061,48.302,48.471,48.576,48.637,48.683,48.75,48.874,49.084,49.398,49.832,50.388,51.045,51.775,52.559,53.376,54.207,55.034,55.838,56.601,57.305,57.938,58.506,59.016,59.477,59.899,60.299,60.693,61.093,61.505,61.93,62.363,62.793,63.211,63.613,63.999,64.369,64.728,65.077,..,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,Malawi,MWI,39.909,40.39,40.862,41.313,41.74,42.146,42.535,42.91,43.261,43.579,43.848,44.06,44.212,44.303,44.339,44.327,44.282,44.217,44.139,44.05,43.95,43.835,43.707,43.574,43.432,43.272,43.103,42.95,42.845,42.836,42.973,43.289,43.807,44.537,45.497,46.693,48.084,49.608,51.207,52.807,54.334,55.737,56.979,58.035,58.898,59.587,60.155,60.651,..,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,Malaysia,MYS,63.472,63.801,64.1,64.373,64.631,64.889,65.159,65.449,65.761,66.09,66.426,66.757,67.072,67.368,67.649,67.922,68.195,68.471,68.747,69.017,69.268,69.491,69.682,69.843,69.977,70.095,70.208,70.326,70.456,70.603,70.765,70.94,71.122,71.311,71.505,71.702,71.901,72.1,72.299,72.497,72.698,72.902,73.109,73.317,73.521,73.718,73.903,74.075,..,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,Maldives,MDV,45.316,46.18,47.071,47.987,48.931,49.908,50.913,51.935,52.962,53.978,54.964,55.907,56.798,57.634,58.414,59.142,59.832,60.502,61.161,61.819,62.487,63.165,63.858,64.568,65.302,66.064,66.848,67.644,68.443,69.229,69.99,70.712,71.387,72.008,72.571,73.077,73.536,73.957,74.348,74.713,75.059,75.388,75.706,76.016,76.323,76.629,76.931,77.229,..,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,Mali,MLI,32.222,32.925,33.633,34.342,35.054,35.774,36.51,37.262,38.027,38.797,39.565,40.319,41.049,41.746,42.403,43.019,43.596,44.129,44.613,45.026,45.341,45.555,45.684,45.754,45.81,45.905,46.084,46.382,46.813,47.386,48.092,48.889,49.733,50.592,51.429,52.212,52.926,53.566,54.127,54.62,55.065,55.491,55.922,56.364,56.818,57.275,57.718,58.137,..,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,Marshall Islands,MHL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,69.8,..,..,..,..,..,..,..,..,..,..,..,65.7,62.8,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,Mauritania,MRT,49.286,49.61,49.938,50.282,50.658,51.078,51.543,52.048,52.591,53.168,53.772,54.389,55.003,55.597,56.156,56.665,57.121,57.518,57.854,58.125,58.332,58.486,58.598,58.678,58.733,58.768,58.789,58.805,58.826,58.864,58.926,59.017,59.138,59.291,59.475,59.688,59.922,60.172,60.434,60.708,60.996,61.299,61.614,61.935,62.251,62.552,62.831,63.082,..,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,Mauritius,MUS,60.767,60.738,60.727,60.759,60.872,61.101,61.45,61.906,62.447,63.021,63.563,64.02,64.362,64.585,64.718,64.814,64.936,65.124,65.385,65.6,66.2,66.4,66.4,66.5,66.56,66.44,66.6,66.9,67.4,68.2,68.4,68.6,68.77333333,68.94666667,69.12,69.12,69.2,69.2,69.38,69.46,69.74,70.4,70.7,70.97,71.08,71.19,71.3,71.27,..,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,Mexico,MEX,59.486,59.884,60.291,60.705,61.126,61.553,61.986,62.423,62.864,63.309,63.759,64.213,64.672,65.133,65.599,66.07,66.545,67.021,67.492,67.951,68.386,68.793,69.171,69.522,69.859,70.199,70.553,70.923,71.302,71.668,71.995,72.259,72.445,72.55,72.575,72.532,72.447,72.342,72.233,72.135,72.056,71.997,71.958,71.943,71.954,71.99,72.046,72.118,..,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,Moldova,MDA,61.582,61.639,61.667,61.675,61.666,61.636,61.588,61.535,61.493,61.502,61.603,61.814,62.13,62.532,62.976,63.404,63.76,64.003,64.115,64.092,63.945,63.722,63.469,63.217,63.001,62.853,62.779,62.783,62.866,63.012,63.195,63.387,63.569,63.739,63.916,64.127,64.398,64.739,65.14,65.577,66.014,66.415,66.753,67.017,67.208,67.34,67.439,67.53,..,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,Mongolia,MNG,53.56,53.919,54.191,54.38,54.492,54.538,54.543,54.538,54.548,54.606,54.746,54.973,55.283,55.666,56.096,56.534,56.941,57.291,57.575,57.798,57.978,58.147,58.331,58.539,58.774,59.03,59.295,59.561,59.826,60.09,60.354,60.622,60.9,61.191,61.504,61.849,62.227,62.633,63.059,63.486,63.895,64.269,64.596,64.873,65.103,65.294,65.465,65.631,..,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,Montenegro,MNE,67.557,67.815,68.026,68.198,68.354,68.521,68.723,68.97,69.26,69.58,69.904,70.204,70.456,70.655,70.805,70.921,71.022,71.12,71.217,71.298,71.347,71.347,71.293,71.191,71.051,70.89,70.731,70.598,70.504,70.465,70.488,70.568,70.7,70.88,71.112,71.394,71.718,72.07,72.435,72.792,73.119,73.405,73.644,73.835,73.982,74.099,74.205,74.317,..,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,Morocco,MAR,51.911,52.276,52.649,53.039,53.457,53.918,54.425,54.982,55.589,56.245,56.946,57.681,58.434,59.189,59.932,60.649,61.334,61.978,62.576,63.118,63.601,64.031,64.421,64.783,65.13,65.475,65.832,66.214,66.633,67.108,67.654,68.266,68.931,69.632,70.339,71.019,71.644,72.194,72.66,73.046,73.366,73.646,73.912,74.172,74.433,74.694,74.948,75.19,..,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,Mozambique,MOZ,40.364,40.665,41.001,41.357,41.701,41.999,42.227,42.374,42.44,42.437,42.385,42.321,42.276,42.273,42.333,42.47,42.677,42.943,43.259,43.606,43.962,44.306,44.625,44.915,45.186,45.456,45.746,46.068,46.419,46.784,47.137,47.458,47.739,47.985,48.207,48.422,48.662,48.955,49.327,49.816,50.461,51.26,52.191,53.222,54.295,55.339,56.293,57.114,..,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,Myanmar,MMR,46.369,46.765,47.146,47.522,47.897,48.273,48.646,49.016,49.384,49.755,50.132,50.517,50.91,51.308,51.709,52.108,52.5,52.881,53.251,53.609,53.957,54.299,54.638,54.976,55.316,55.66,56.008,56.357,56.705,57.044,57.362,57.656,57.926,58.18,58.43,58.693,58.984,59.313,59.684,60.102,60.566,61.062,61.572,62.082,62.572,63.021,63.419,63.761,..,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,Namibia,NAM,50.865,51.313,51.776,52.252,52.721,53.156,53.534,53.85,54.112,54.354,54.62,54.945,55.347,55.819,56.354,56.933,57.504,58.01,58.399,58.596,58.529,58.179,57.56,56.698,55.632,54.418,53.149,51.925,50.824,49.924,49.281,48.896,48.768,48.907,49.327,50.035,50.982,52.103,53.332,54.586,55.786,56.877,57.822,58.595,59.195,59.65,60.02,60.357,..,..
